name,year,avg_open,avg_close,avg_high,avg_low,total_volume,name_year,,,average volume,std. deviation,scaled volume,,,,
AAPL,2015,120.17,120.04,121.24,118.86,13068421452,AAPL2015,,,,,2015,2016,2017,2018,2019
AAPL,2016,104.51,104.6,105.43,103.69,9666725519,AAPL2016,,AAPL,8566011826,2794654001,1.611079449,0.393864032,-0.62778952,-0.015190784,-1.361963176
AAPL,2017,150.45,150.55,151.41,149.49,6811557331,AAPL2017,,AMZN,999304696.2,233327822.4,-0.180199231,0.151756891,-0.498674303,1.77301121,-1.245894567
AAPL,2018,189.11,189.05,191,187.19,8523558839,AAPL2018,,FB,5455847933,1611501013,0.830687164,0.5948794,-0.770359873,0.92698326,-1.58218995
AAPL,2019,187.56,187.84,189.52,186.03,4759795987,AAPL2019,,GOOGL,445417793.8,101147551.4,1.003200876,0.488199927,-0.391000575,0.673917334,-1.774317562
AMZN,2015,478.12,478.14,483.25,472.88,957259202,AMZN2015,,MSFT,6932141236,1750038848,1.216084135,0.5033455,-0.742970008,0.569844274,-1.546303901
AMZN,2016,699.76,699.52,705.8,692.65,1034713801,AMZN2016,,,,,,,,,
AMZN,2017,968.28,968.17,974.52,960.73,882950107,AMZN2017,,,,,,,,,
AMZN,2018,1644,1641.48,1662.6,1619.72,1412997541,AMZN2018,,,,,,,,,
AMZN,2019,1795.12,1795.99,1810.45,1778.39,708602830,AMZN2019,,,,,,,,,
FB,2015,88.76,88.77,89.7,87.76,6794501138,FB2015,,,average volume,std. deviation,scaled avg_open,,,,
FB,2016,117.08,117.04,118.09,115.85,6414496688,FB2016,,,,,2015,2016,2017,2018,2019
FB,2017,156.48,156.58,157.56,155.35,4214412217,FB2017,,AAPL,150.36,34.3484183,-0.878934213,-1.334850403,0.002620208,1.128145106,1.083019302
FB,2018,171.45,171.51,173.62,169.3,6949682394,FB2018,,AMZN,1117.056,518.0637469,-1.233315405,-0.805491607,-0.287177014,1.017141236,1.30884279
FB,2019,176.22,176.36,178.24,174.33,2906147226,FB2019,,FB,141.998,33.77420696,-1.576291638,-0.737781942,0.42878875,0.872026397,1.013258432
GOOGL,2015,620.05,619.99,625.76,613.96,546889106,GOOGL2015,,GOOGL,918.774,203.8909582,-1.465116466,-0.760769391,0.101505237,0.999485224,1.124895395
GOOGL,2016,763.66,763.21,769.41,756.96,494798021,GOOGL2016,,MSFT,79.526,28.48006643,-1.154000117,-0.853087898,-0.266010615,0.758214524,1.514884107
GOOGL,2017,939.47,939.77,945.22,933.22,405869043,GOOGL2017,,,,,,,,,
GOOGL,2018,1122.56,1122.04,1134.96,1109.35,513582882,GOOGL2018,,,,,,,,,
GOOGL,2019,1148.13,1149.04,1157.82,1138.48,265949917,GOOGL2019,,,,,,,,,
MSFT,2015,46.66,46.71,47.14,46.25,9060335714,MSFT2015,,,,,,,,,
MSFT,2016,55.23,55.26,55.68,54.78,7813015414,MSFT2016,,,,,,,,,
MSFT,2017,71.95,71.98,72.38,71.5,5631914860,MSFT2017,,,,,,,,,
MSFT,2018,101.12,101.03,102.11,99.92,7929390853,MSFT2018,,,,,,,,,
MSFT,2019,122.67,122.76,123.63,121.65,4226049338,MSFT2019,,,,,,,,,
^IXIC,2015,4945.53,4945.55,4972.28,4915.38,0,^IXIC2015,,,,,,,,,
^IXIC,2016,4985.95,4987.79,5011.58,4958.91,0,^IXIC2016,,,,,,,,,
^IXIC,2017,6233.19,6235.3,6253.27,6209.7,0,^IXIC2017,,,,,,,,,
^IXIC,2018,7430.59,7425.96,7479.67,7372.62,0,^IXIC2018,,,,,,,,,
^IXIC,2019,7718.06,7724.9,7761.14,7676.23,0,^IXIC2019,,,,,,,,,
